Domain name,Agency,Maintaining office,Use case,Type of government,Federal branch,State,Comments,Link,Date Added
csosa.co,Court Services and Offender Supervision Agency,CSOSA OIT,Website,Federal,Executive,,"Parked domain, redirects to CSOSA.gov",,
monitor.net.co,United States Agency for International Development,Colombia Mission ,Website - password protected,Federal,Executive,,"The Colombia Monitoring and Information System (Monitor) -  is a centralized, web-based, management information system that provides comprehensive and integrated information about the status and progress of activities supported by USAID/Colombia. It is  the only Mission system that gathers information that has an extended and comprehensive list of attributes for all the sub-activities from all Implementing Partners ",,
