Domain name,Agency,Maintaining office,Use case,Type of government,Federal branch,State,Comments,Link,Date Added
avonpark.cc,,,,Local,,Florida,"City of Avon Park, FL -- Note added 6/15/15 19:38",http://avonpark.cc/,6/6/13 18:08
chardon.cc,,,,Local,,Ohio,"City of Chardon, OH -- Note added 3/11/14 14:39",http://www.chardon.cc/,6/6/13 18:08
leelanau.cc,,,,County,,Michigan,"Leelanau County, mi -- Note added 9/3/15 15:29",http://leelanau.cc/,6/6/13 18:08
versaillesohio.cc,,,,Local,,Ohio,"Village of Versailles, OH -- Note added 3/28/14 17:22",http://versaillesohio.cc/,6/6/13 18:09
