Domain name,Agency,Maintaining office,Use case,Type of government,Federal branch,State,Comments,Link,Date Added
csosa.biz,Court Services and Offender Supervision Agency,CSOSA OIT,Website,Federal,Executive,,"Parked domain, redirects to CSOSA.gov",,
nihseniorhealth.biz,Department of Health and Human Services,National Institutes of Health ,Defensive Redirect,Federal,Executive,,,,
pubchem.biz,Department of Health and Human Services,,Defensive Registration,Federal,Executive,,,,
pbgc.biz,Pension Benefit Guaranty Corporation,,Defensive Registration,Federal,Executive,,Defensive registration - to prevent other from impersonating us.,,
