Domain name,Agency,Maintaining office,Use case,Type of government,Federal branch,State,Comments,Link,Date Added
borough.hanover.pa.us,,,,Local,,Pennsylvania,"Borough of Hanover, PA -- Note added 7/1/14 13:35",http://www.hanoverboroughyorkcountypa.info/,6/6/13 18:08
borough.kenai.ak.us,,,,Local,,Alaska,"Kenai Peninsula Borough, AK -- Note added 1/2/14 14:49",http://www.borough.kenai.ak.us/,6/6/13 18:08
borough.ketchikan.ak.us,,,,Local,,Alaska,"Ketchikan Gateway Borough, AK -- Note added 6/7/13 12:42",http://borough.ketchikan.ak.us/,6/6/13 18:08
borough.mountpocono.pa.us,,,,Local,,Pennsylvania,"Borough of Mount Pocono, PA -- Note added 7/1/14 13:40",http://borough.mountpocono.pa.us/,6/6/13 18:08
borough.shippensburg.pa.us,,,,Local,,Pennsylvania,"Borough of Shippensburg, PA -- Note added 7/1/14 13:42",http://www.borough.shippensburg.pa.us/,6/6/13 18:08
borough.stroudsburg.pa.us,,,,Local,,Pennsylvania,"Borough of Stroudsburg, PA -- Note added 7/1/14 13:43",http://borough.stroudsburg.pa.us/,6/6/13 18:08
bosquecounty.us,,,,County,,Texas,"Bosque County, TX -- Note added 3/3/15 6:44",http://bosquecounty.us/,6/6/13 18:08
boxelder.us,,,,Local,,South Dakota,"City of Box Elder, SD -- Note added 7/17/14 5:11",http://boxelder.us/,6/6/13 18:08
bradford-vt.us,,,,Local,,Vermont,"Town of Bradford, VT -- Note added 8/13/14 5:28",http://bradford-vt.us/,6/6/13 18:08
bradytwp.us,,,,Local,,Pennsylvania,"Brady Township, Butler County, PA -- Note added 9/23/15 13:06",#N/A,9/23/15 13:06
branchburg.nj.us,,,,Local,,New Jersey,"branchburg, nj -- Note added 9/15/15 18:59",http://branchburg.nj.us/,6/6/13 18:08
brevardcounty.us,,,,County,,Florida,"Brevard County, FL -- Note added 6/25/13 16:19",http://brevardcounty.us/,6/6/13 18:08
bristolbayboroughak.us,,,,Local,,Alaska,"Bristol Bay Borough, AK -- Note added 6/7/13 14:47",#N/A,6/7/13 14:46
bristolri.us,,,,Local,,Rhode Island,"Town of Bristol, RI -- Note added 3/24/14 13:11",http://bristolri.us/,3/24/14 13:11
brookfieldma.us,,,,Local,,Massachusetts,"Brookfield, MA -- Note added 8/26/15 15:39",http://brookfieldma.us/,6/6/13 18:08
brookfieldny.us,,,,Local,,New York,"Town of Brookfield, NY -- Note added 11/20/13 17:12",http://www.brookfieldny.us/,11/20/13 17:12
brookings.or.us,,,,Local,,Oregon,"City of Brookings, OR -- Note added 6/13/14 6:12",http://brookings.or.us/,6/6/13 18:08
brookline.nh.us,,,,Local,,New Hampshire,"brookline, nh -- Note added 8/28/15 18:39",http://www.brookline.nh.us/,6/6/13 18:08
bucoda.us,,,,Local,,Washington,"Town of Bucoda, WA -- Note added 1/14/14 14:23",http://site.bucoda.us/,6/6/13 18:08
buffalomissouri.us,,,,Local,,Missouri,"City of Buffalo, MO -- Note added 9/22/15 19:08",http://www.buffalomissouri.us/,6/6/13 18:08
burlingtonct.us,,,,Local,,Connecticut,"Town of Burlington, CT -- Note added 12/15/14 6:16",http://burlingtonct.us/,6/6/13 18:08
burlingtonnj.us,,,,Local,,New Jersey,"burlington, nj -- Note added 9/15/15 19:01",http://burlingtonnj.us/,6/6/13 18:08
buxton.me.us,,,,Local,,Maine,"Town of Buxton, ME -- Note added 8/18/14 18:33",http://www.buxton.me.us/Pages/index,6/6/13 18:08
byram-ms.us,,,,Local,,Mississippi,"City of Byram, MS -- Note added 11/20/13 17:17",http://byram-ms.us/,6/6/13 18:08
ca-bishop.us,,,,Local,,California,Municipal website -- Note added 3/5/15 18:21,http://www.ca-bishop.us/,6/6/13 18:08
cabarruscounty.us,,,,County,,North Carolina,"Cabarrus County, NC -- Note added 8/28/13 12:12",https://www.cabarruscounty.us/Pages/default.aspx,6/6/13 18:08
calaverasgov.us,,,,County,,California,"website of Calaveras County, CA -- Note added 3/5/15 19:22",http://calaverasgov.us/,6/6/13 18:08
cariboucounty.us,,,,County,,Idaho,"Caribou County, ID -- Note added 7/5/13 18:54",http://www.cariboucounty.us/,6/6/13 18:08
carlstadtnj.us,,,,Local,,New Jersey,"Borough of Carlstadt, NJ -- Note added 9/15/15 19:11",http://www.carlstadtnj.us/,6/6/13 18:08
carpinteria.ca.us,,,,Local,,California,City of Carpenteria website. Also accessed via nci.carpinteria.ca.us address. n  -- Note added 3/10/15 22:23,http://carpinteria.ca.us/,6/6/13 18:08
carrolltown.pa.us,,,,Local,,Pennsylvania,"Borough of Carrolltown, PA -- Note added 7/1/14 19:26",http://carrolltown.pa.us/,6/6/13 18:08
cascade-locks.or.us,,,,Local,,Oregon,"City of Cascade Locks, OR -- Note added 6/13/14 6:14",http://www.cascade-locks.or.us/,6/6/13 18:08
catroncounty.us,,,,County,,New Mexico,"Catron County, NM -- Note added 7/16/14 5:26",http://www.catroncounty.us/,6/6/13 18:08
cavaliercounty.us,,,,County,,North Dakota,"Cavalier County, ND -- Note added 7/18/14 5:28",http://www.cavaliercounty.us/,6/6/13 18:08
cayuga-heights.ny.us,,,,Local,,New York,"Village of Cayuga Heights, NY -- Note added 6/17/15 17:00",http://cayuga-heights.ny.us/,6/6/13 18:08
cayugacounty.us,,,,County,,New York,"Cayuga County, NY -- Note added 12/6/13 14:13",http://www.cayugacounty.us/,6/6/13 18:08
