Domain name,Agency,Maintaining office,Use case,Type of government,Federal branch,State,Comments,Link,Date Added
gov.pr,,,,State,,Puerto Rico,"*.gov.pr pattern for several Puerto Rican government agencies, such as https://www.google.com/#q=site:gov.pr  -- Note added 7/23/14 14:48",#N/A,6/6/13 18:08
mayaguez.pr,,,,Local,,Puerto Rico,"Municipio de Mayaguez, PR -- Note added 6/12/13 12:17",#N/A,6/6/13 18:08
