Domain name,Agency,Maintaining office,Use case,Type of government,Federal branch,State,Comments,Link,Date Added
extension.unh.edu,,,,State,,New Hampshire,Univ of NH -- Note added 8/28/15 18:52,http://extension.unh.edu/,6/6/13 18:08
extension.unl.edu,,,,State,,Nebraska,University of Nebraska&ndash;Lincoln Extension -- Note added 11/20/13 19:17,http://www.extension.unl.edu/,6/6/13 18:08
extension.usu.edu,,,,State,,Utah,Utah State University extension -- Note added 8/21/14 5:14,http://extension.usu.edu/,6/6/13 18:08
external.oneonta.edu/town,,,,Local,,New York,"Town of Oneonta, NY -- Note added 6/30/15 17:23",http://townofoneonta.org/,6/6/13 18:08
fbiacademy.edu,Federal Bureau of Investigation (FBI),,,Federal,,,Federal Bureau of Investigation (FBI) Academy -- Note added 8/8/13 15:28,http://fbilibrary.fbiacademy.edu/,8/8/13 15:27
fcic.law.stanford.edu,,,,Quasigovernmental,,,"Financial Crisis Inquiry Commission (FCIC) website hosted by Stanford University's Rock Center for Corporate Governance and Stanford Law School. To visit the frozen FCIC website, which is a federal record managed on behalf of the National Archives and Records Administration, visit http://cybercemetery.unt.edu/archive/fcic/20110310172443/http:/fcic.gov/  -- Note added 1/29/14 17:41",http://fcic.law.stanford.edu/,6/6/13 18:09
fcs.okstate.edu,,,,State,,Oklahoma,OK State Family & Consumer website -- Note added 8/28/15 16:47,http://fcs.okstate.edu/,6/6/13 18:08
fdrlibrary.marist.edu,National Archives and Records Administration (NARA),,Redirect,Federal,,,Redirects to https://www.fdrlibrary.org/ - DPM 11/15/2022. Franklin D. Roosevelt Presidential Library and Museum -- Note added 6/6/13 18:08,#N/A,6/6/13 18:08
forest.moscowfsl.wsu.edu,,,,Local,,Idaho,"Moscow (Idaho) Forestry Sciences Laboratory, Rocky Mountain Research Station, Forest Service, USDA -- Note added 7/23/14 14:13",http://forest.moscowfsl.wsu.edu/,6/6/13 18:08
geoinfo.nmt.edu,,,,State,,New Mexico,New Mexico Bureau of Geology & Mineral Resources -- Note added 7/16/14 5:13,http://geoinfo.nmt.edu/,6/6/13 18:08
georgewbushlibrary.smu.edu,National Archives and Records Administration (NARA),,,Federal,,,George W. Bush Presidential Library and Museum -- Note added 6/12/13 16:28,http://www.georgewbushlibrary.smu.edu/Home.aspx,6/12/13 16:28
