Domain name,Agency,Maintaining office,Use case,Type of government,Federal branch,State,Comments,Link,Date Added
gov.vi,,,,State,,Virgin Islands,*.gov.vi pattern for Virgin Island government sites -- Note added 6/7/13 18:57,http://www.gov.vi/,6/6/13 18:08
vide.vi,,,,State,,Virgin Islands,Virgin Islands Department of Education -- Note added 8/18/14 14:08,http://www.vide.vi/,8/18/14 14:07
vipd.gov.vi,,,,State,,Virgin Islands,U.S. Virgin Islands Police Department -- Note added 8/18/14 14:16,#N/A,8/18/14 14:15
