Domain name,Agency,Maintaining office,Use case,Type of government,Federal branch,State,Comments,Link,Date Added
defensetv.tv,Department of Defense (DOD),,,Federal,,,Defense TV -- Note added 6/9/15 13:19,http://defensetv.tv/#/video:408175/news-stream,6/9/15 13:18
homelandsecurity.conferenceon.tv,Department of Homeland Security (DHS),,,Federal,,,Internet Video Portal through ItsAllOn.TV I U.S. Homeland Security. Live webcasts and media for Homeland Security conferences. -- Note added 6/6/13 18:08,#N/A,6/6/13 18:08
ncapt.tv,,,,State,,North Carolina,NC Triangle Public Access TV n  n  -- Note added 9/11/15 20:35,http://comm.unc.edu/undergraduate-studies/swain-lab-info/public-access-tv-stations-in-the-triangle-area-of-nc/,6/6/13 18:08
