Domain name,Agency,Maintaining office,Use case,Type of government,Federal branch,State,Comments,Link,Date Added
allencountykentucky.com,,,,County,,Kentucky,"allen county, Ky -- Note added 8/27/15 15:11",http://allencountykentucky.com/,6/6/13 18:08
allendalecounty.com,,,,County,,South Carolina,"Allendale County, SC -- Note added 7/23/13 19:51",http://allendalecounty.com/,6/6/13 18:08
almacity.com,,,,Local,,Nebraska,"City of Alma, NE -- Note added 12/6/13 18:48",http://www.almacity.com/,6/6/13 18:08
almawisconsin.com,,,,Local,,Wisconsin,"City of Alma, WI -- Note added 7/25/14 5:06",http://almawisconsin.com/,6/6/13 18:08
alton-il.com,,,,Local,,Illinois,"City of Alton, IL -- Note added 7/1/14 19:14",http://www.alton-il.com/,6/6/13 18:08
altoona-iowa.com,,,,Local,,Iowa,"Altoona, Ia -- Note added 8/25/15 19:56",http://www.altoona-iowa.com/,6/6/13 18:08
amador-city.com/government,,,,Local,,California,Amador City website -- Note added 3/10/15 16:31,http://www.amador-city.com/amador-city-government.html,6/6/13 18:08
ameliacova.com,,,,County,,Virginia,"Amelia County, VA -- Note added 5/27/14 20:31",http://www.ameliacova.com/,6/6/13 18:08
amityville.com,,,,Local,,New York,"Village of Amityville, Long Island, NY -- Note added 6/8/15 12:05",http://amityville.com/,6/6/13 18:08
amtrak.com,National Railroad Passenger Corporation,,,Federal,,,"Amtrak, the National Railroad Passenger Corporation -- Note added 11/18/13 14:58",http://www.amtrak.com/home,6/6/13 18:08
amtrakcascades.com,,,,State,,Washington,"Amtrak Cascades, a train service sponsored by the state departments of transportation of Washington and Oregon. -- Note added 6/17/14 14:40",http://amtrakcascades.com/,7/30/13 13:27
amver.com,U.S. Coast Guard,,,Federal,,,"Automated Mutual Assistance Vessel Rescue (AMVER) System, sponsored by the United States Coast Guard, is a computer-based voluntary global ship reporting system used worldwide by search and rescue authorities to arrange for assistance to persons in distress at sea. -- Note added 1/23/15 15:04",http://www.amver.com/,1/23/15 15:03
anc2e.com,,,,Local,,District of Columbia,DC Advisory Neighborhood Commission 2E -- Note added 6/7/13 17:34,#N/A,6/6/13 18:08
anderson.govoffice.com,,,,Local,,Alaska,"City of Anderson, AK -- Note added 6/7/13 12:39",http://www.anderson.govoffice.com/,6/6/13 18:09
andoverks.com,,,,Local,,Kansas,"City of Andover, KS -- Note added 6/6/13 18:08",http://andoverks.com/,6/6/13 18:08
annualcreditreport.com,,,,Quasigovernmental,,,Required by law - see https://www.consumerfinance.gov/ask-cfpb/how-do-i-get-a-copy-of-my-credit-reports-en-5/. -DPM 11/15/22. AnnualCreditReport.com is the official site to help consumers to obtain their free credit report. -- Note added 6/6/13 18:08,https://www.annualcreditreport.com/index.action,6/6/13 18:08
aplingtonia.com,,,,Local,,Iowa,"Applington, IA -- Note added 8/25/15 19:56",http://aplingtonia.com/,6/6/13 18:08
archbold.com,,,,Local,,Ohio,"Village of Archbold, OH -- Note added 11/20/13 16:13",http://www.archbold.com/,6/6/13 18:08
ardsleyvillage.com,,,,Local,,New York,"Village of Ardsley, NY -- Note added 6/8/15 12:06",http://www.ardsleyvillage.com/,6/6/13 18:08
argyleny.com,,,,Local,,New York,"Town of Argyle, NY -- Note added 6/8/15 12:07",http://argyleny.com/,6/6/13 18:08
argyletx.com,,,,Local,,Texas,"Town of Argyle, TX -- Note added 7/25/13 14:58",http://www.argyletx.com/town/Town-of-Argyle.html,6/6/13 18:08
arizonaguide.com,,,,State,,Arizona,Travel and Tourism Site for Arizona -- Note added 6/6/13 19:16,http://arizonaguide.com/,6/6/13 19:11
arizonalottery.com,,,,State,,Arizona,Arizona lottery -- Note added 11/18/13 15:03,http://www.arizonalottery.com,6/6/13 18:08
arizonaworkforceconnection.com,,,,State,,Arizona,"Arizona's Workforce Connection!, a website of the Governor's Council on Workforce Policy developed to provide easy access to the workforce development system in Arizona. -- Note added 11/18/13 15:13",http://www.arizonaworkforceconnection.com/,6/6/13 18:08
ark-ives.com,,,,State,,Arkansas,"Arkansas History Commission, a division of the Arkansas Department of Parks and Tourism -- Note added 12/10/14 6:32",http://www.ark-ives.com/,6/6/13 18:08
arkansas.com,,,,State,,Arkansas,Travel and Tourism Site for Arkansas -- Note added 6/6/13 19:23,http://www.arkansas.com/,6/6/13 19:11
arkansasedc.com,,,,State,,Arkansas,Arkansas Economic Development Coorporation (AEDC) -- Note added 1/24/14 14:36,http://arkansasedc.com/,1/24/14 14:36
arkansasethics.com,,,,State,,Arkansas,Arkansas Ethics Commission -- Note added 7/17/13 16:13,http://arkansasethics.com/,6/6/13 18:08
arkidsfirst.com,,,,State,,Arkansas,"ARKids First health insurance, Arkansas Department of Human Services -- Note added 1/10/14 19:17",http://arkidsfirst.com/home.htm,1/10/14 19:17
arkport.com,,,,Local,,New York,"Arkport, NY -- Note added 6/7/15 20:17",http://arkport.com/,6/6/13 18:08
armedforcessports.com,Department of Defense (DOD),,,Federal,,,"Armed Forces Sports, Department of Defense -- Note added 12/5/14 20:10",http://www.armedforcessports.com/,12/5/14 20:10
armstrongcounty.com,,,,County,,Pennsylvania,Armstrong County Tourist Bureau -- Note added 6/30/14 20:44,http://armstrongcounty.com,6/6/13 18:08
armyfuturescommand.com,Department of the Army,,,Federal,,,Responsible for leading a team of Soldiers and civilians to streamline the Army’s modernization enterprise under a single command. The command enhances efficiency and effectiveness in delivering the technology necessary to maintain the Army’s competitive advantage and win wars. - From https://armyfuturescommand.com/leadership/. See also https://www.army.mil/futures.,https://armyfuturescommand.com/,8/26/19 0:00
arnoldsparkcity.com,,,,Local,,Iowa,"Arnolds Park, IA -- Note added 8/25/15 19:57",http://arnoldsparkcity.com/,6/6/13 18:08
artesiansd.com,,,,Local,,South Dakota,"Town of Artesian, SD -- Note added 2/26/14 19:08",http://artesiansd.com/,6/6/13 18:08
asdd.com,,,,State,,Alabama,"Alabama State Port Authority, Mobile, AL -- Note added 6/12/13 17:16",http://asdd.com/,6/6/13 18:08
asgteo.com,,,,State,,American Samoa,American Samoa Territorial Energy Office -- Note added 6/7/13 14:55,http://asgteo.com/,6/7/13 14:54
asharoken.com,,,,Local,,New York,"Village of Asharoken, NY -- Note added 6/8/15 12:07",http://asharoken.com/,6/6/13 18:08
ashecountygov.com,,,,County,,North Carolina,"ashe county, nc -- Note added 9/11/15 17:11",http://www.ashecountygov.com/,6/6/13 18:08
ashland-ohio.com,,,,Local,,Ohio,"City of Ashland, OH -- Note added 3/10/14 15:25",http://www.ashland-ohio.com,6/6/13 18:08
ashlandmass.com,,,,Local,,Massachusetts,"Ashland, Ma -- Note added 8/26/15 15:35",http://www.ashlandmass.com/,6/6/13 18:08
ashley-nd.com,,,,Local,,North Dakota,"City of Ashley, ND -- Note added 7/18/13 12:51",http://ashley-nd.com/,6/6/13 18:08
ashwaubenon.com,,,,Local,,Wisconsin,"Village of Ashwaubenon, WI -- Note added 4/1/14 14:06",http://www.ashwaubenon.com/,6/6/13 18:08
askpsc.com,,,,State,,New York,New York State Public Service Commission‚Äôs Consumer Web Site -- Note added 1/10/14 19:17,http://www.askpsc.com/,1/10/14 19:17
aspenpitkin.com,,,,County,,Colorado,"Aspen and Pitkin Counties, CO -- Note added 7/11/14 5:17",http://aspenpitkin.com/,6/6/13 18:08
aspinwallpa.com,,,,Local,,Pennsylvania,"Aspinwall Borough, PA -- Note added 12/6/13 14:09",http://www.aspinwallpa.com/default.aspx,6/6/13 18:08
assumptionla.com,,,,County,,Louisiana,"Assumption Parish, La -- Note added 8/24/15 13:55",http://assumptionla.com/,6/6/13 18:08
athensclarkecounty.com,,,,County,,Georgia,Athens-Clarke County Unified Government -- Note added 6/6/13 18:08,http://athensclarkecounty.com/,6/6/13 18:08
athenscountygovernment.com,,,,County,,Ohio,"Athens County, OH -- Note added 11/20/13 16:17",#N/A,6/6/13 18:08
athenstownship.com,,,,Local,,Minnesota,"Athens Township, MN -- Note added 3/20/14 17:18",http://athenstownship.com/,6/6/13 18:08
athenswis.com,,,,Local,,Wisconsin,"Village of Athens, WI -- Note added 7/25/14 5:09",http://www.athenswis.com/,6/6/13 18:08
atlanticbeach-nc.com,,,,Local,,North Carolina,"atlantic beach, nc -- Note added 9/11/15 17:13",http://atlanticbeach-nc.com/,6/6/13 18:08
auburnrancheria.com,,,,Native Sovereign Nation / Tribal,,,United Auburn Indian Community website -- Note added 3/9/15 19:43,http://www.auburnrancheria.com,6/6/13 18:08
auroraoh.com,,,,Local,,Ohio,"Aurora, OH -- Note added 6/6/13 18:08",http://auroraoh.com/,6/6/13 18:08
austerlitzny.com,,,,Local,,New York,"Town of Austerlitz, NY -- Note added 6/8/15 12:08",http://austerlitzny.com/,6/6/13 18:08
austincounty.com,,,,County,,Texas,"Austin County, TX -- Note added 3/3/15 6:37",http://austincounty.com/,6/6/13 18:08
austintowntwp.com,,,,Local,,Ohio,"Austintown Township, OH -- Note added 3/10/14 16:14",http://austintowntwp.com/,6/6/13 18:08
auxvassemo.com,,,,Local,,Missouri,"City of Auxvasse, MO. -- Note added 9/2/15 15:03",http://www.auxvassemo.com/Pages/default.aspx,6/6/13 18:08
avonbytheseanj.com,,,,County,,New Jersey,"Avon Borough (Avon by the Sea, NJ -Monmouth County) -- Note added 6/30/14 12:00",http://www.avonbytheseanj.com/,6/6/13 18:08
aww.aww-sp.com,U.S. Coast Guard,,,Federal,,,America's Waterway Watch is a public outreach program encouraging participants to simply report suspicious activity to the Coast Guard and/or other law enforcement agencies.¬† -- Note added 6/6/13 18:08,#N/A,6/6/13 18:08
ayden.com,,,,Local,,North Carolina,"ayden, nc -- Note added 9/11/15 17:53",http://www.ayden.com/,6/6/13 18:08
azcommerce.com,,,,State,,Arizona,Arizona Commerce Authority -- Note added 12/11/13 13:50,http://www.azcommerce.com/,6/6/13 18:08
