domain_type
City
Native Sovereign Nation / Tribal
Independent Intrastate
Regional
Tribal
County
Federal - Judicial
State
Interstate
Local
Federal - Executive
Quasigovernmental
"Level unclear, see note"
Federal
Federal - Legislative
